songID,num_Q1,num_Q2,num_Q3,num_Q4,DominantQ
e8NQ2NH0nc8,2,0,0,0,1
HQ8ISDX6PiI,0,0,0,2,4
ZTrEoB8T9YA,0,3,0,0,2
3N2G21U7guk,3,0,0,4,4
_8v0MFBZoco,2,0,0,0,1
WpZ1rWHOCAQ,3,0,0,0,1
iwxwLEvqeD8,0,1,1,0,2
f2b4kpdw7_c,0,0,0,2,4
g-yM0Lsp4lc,0,0,2,0,3
KRlAez34QfE,0,0,0,3,4
SQDuF0qxGQw,3,0,0,0,1
ldCQ6N9G6Mk,1,0,3,3,3
x5ibvz38jOs,0,2,0,0,2
Tc684nD8CEA,0,0,0,5,4
0lEL_XHyhuU,0,0,4,0,3
77z6Ep3aOmg,0,0,2,0,3
0J7lX-Tcx-w,0,3,0,0,2
GAvPwG2wYZM,0,0,0,2,4
-_FjI4bT2Wo,0,0,0,3,4
snfsc7pEzlk,0,3,0,0,2
7gifuoofgpk,0,0,0,2,4
5J_zI7QE9W8,0,0,0,3,4
yFw_kO7DF-Y,3,0,0,0,1
IH2KrGjKXw0,1,0,3,0,3
7yW9c7t8Hq0,3,0,0,1,1
nGkpcWNAxDU,0,0,0,3,4
ItGNJM6skM4,0,2,1,0,2
6wFJhmhNeeg,1,0,0,0,1
V3Y9L4UOcpk,1,0,0,2,4
TonQX8XbvX8,0,0,4,0,3
bbU31JLtlug,0,0,2,0,3
UuLTvhERcnk,0,0,2,0,3
7JIdJLkJ0S4,0,0,4,0,3
FH28sPhm9Dc,0,0,2,0,3
r_sD61KeUQU,0,0,0,1,4
DvIH5yUrboc,0,0,0,3,4
_S991V8N-8s,0,1,1,0,2
CkjAksZstEA,0,0,0,2,4
3ahg_eQZhxs,2,0,0,0,1
1kny88W533Q,0,4,1,0,2
lQCrA2TE-fo,0,0,0,2,4
epX33OVpkmA,0,3,0,0,2
k4lT-sXg3iI,0,3,0,0,2
TOXg4-ZGb-g,0,0,0,3,4
a5QCcwEjxAk,0,0,0,2,4
cB-Xh8H_7-Q,1,0,0,0,1
0qYNvMCEwaw,0,1,0,0,2
9Yb9OEVwups,1,0,0,0,1
rW1I58_lMEg,0,0,0,4,4
bIx4DwkZxFY,3,0,0,0,1
sA9ac1rod84,0,0,0,2,4
3ZnxqCZ7qGg,0,2,1,0,2
kMHiU0fhWVw,0,0,0,4,4
FoTXpYZXxJs,0,0,0,2,4
vBHoSz8cJIE,0,0,0,5,4
BzqX-9TA-GY,0,2,1,0,2
kfYaGryaGzI,0,0,0,2,4
FyK_c-TIcCA,0,0,0,3,4
sZe3IB1OVfw,2,0,0,0,1
p2qihp_PnLY,0,0,2,0,3
Xlv4PPGrRRs,0,0,0,2,4
eGQUZ9FlUJ4,0,2,0,0,2
PdwxeMPXOCk,3,0,0,0,1
pNwQ9Tu_bCs,3,0,0,0,1
ANZf1QXsNrY,6,2,0,0,1
BaHHHgDd0BU,0,0,0,2,4
6oLmO9ZSJt0,0,0,0,2,4
kKFwiXKlhC8,0,2,0,0,2
epMOLn5Axw0,0,0,1,0,3
fey-8bOR95E,4,0,0,0,1
Jn9r0avp0fY,4,0,0,0,1
1Qc15G0ZHIg,3,0,0,1,1
AjN_5CdVUdw,0,0,0,1,4
Wy2-my19YnY,2,0,0,0,1
XfA2KXodrOE,0,2,0,0,2
aYe-2Glruu4,4,1,0,0,1
sUJ4a74Skk8,1,0,0,0,1
5NW0zDu6IYM,1,2,0,0,2
QmK_SND2jAw,0,2,0,0,2
FUAK5TBaNY8,0,1,3,0,3
I2MrA-o5H8I,0,0,0,3,4
wnB2cjd6zbE,1,0,0,0,1
TYkTOwBfFB8,0,0,2,0,3
qlbazHayULg,1,10,3,0,2
Fc1qk52SaKY,2,0,0,0,1
Uu-oRTRT6uQ,0,3,0,0,2
jO2zX6Ul8GM,0,2,0,1,2
pRuwHN-lI44,0,0,0,4,4
AacIP9mDLw8,0,2,1,0,2
iRu9KQvbtVw,0,0,1,0,3
2Z9SjI131jA,14,0,0,2,1
ezoAduuCkUs,0,1,0,0,2
iGHgeUCPotc,0,0,0,1,4
UTo7E0evQWw,0,1,0,0,2
2v6gJi03LlA,0,0,2,0,3
wqc8iqbDsGM,0,0,5,0,3
Ury1cdB79s0,0,0,0,2,4
vv6nrZ2myXw,5,0,0,0,1
